Date,Open,High,Low,Close,Adj Close,Volume
4/22/2020,373.32,387.85,370.01,383.75,378.95,1392500
4/23/2020,379.91,380.1,359,369.64,365.01,2095500
4/24/2020,368.98,374.93,363.91,367.29,362.69,1035400
4/27/2020,369.64,374.62,361.57,362.03,357.5,791500
4/28/2020,364,365.52,354.65,356.01,351.55,906300
4/29/2020,356.01,367.3,349.09,362.01,357.48,868000
4/30/2020,363.35,370.2,361.93,361.93,357.4,925500
5/1/2020,358.67,364.59,356.13,357.3,352.83,794100
5/4/2020,356.26,361.54,356.1,359.1,354.6,626400
5/5/2020,362.44,372.84,357.1,371.46,366.81,778000
5/6/2020,369.58,379.56,369.58,372.3,367.64,928500
5/7/2020,371,371.97,364.13,367.17,362.57,1312200
5/8/2020,369.5,373.68,365.11,369.11,364.49,937600
5/11/2020,369.15,382.73,365.03,377.49,372.76,10278800
5/12/2020,380.6,382.21,375.32,377.94,373.21,899100
5/13/2020,379.73,385.34,376.52,384.96,380.14,1074900
5/14/2020,383.88,385.97,372.51,376.01,371.3,741100
5/15/2020,372.14,376.08,369.42,376.04,371.33,584500
5/18/2020,378.74,378.74,361.06,364.5,359.94,1017700
5/19/2020,363,372.32,361.41,370.01,365.38,619200
5/20/2020,373,377.4,371.69,377.24,372.52,754100
5/21/2020,377.4,378.8,372.98,375.24,370.54,443500
5/22/2020,376.46,378.25,367.54,372.1,367.44,639800
5/26/2020,374.95,375.37,360.13,360.16,355.65,866000
5/27/2020,363.72,375.21,360.02,373.97,369.29,1285900
5/28/2020,375.96,375.96,364.57,365.55,360.97,694000
5/29/2020,370.26,386.51,369.74,385.84,381.01,1122300
6/1/2020,385.59,394.39,383.2,383.58,378.78,972400
6/2/2020,386.63,387.49,381.13,384.86,380.04,660200
6/3/2020,387,391,385,390.14,385.26,609600
6/4/2020,390.4,394.36,379.53,382.78,377.99,697700
6/5/2020,381.68,382.34,371.86,376.41,371.7,715500
6/8/2020,371.8,377.54,370.83,375.82,371.11,640800
6/9/2020,376.94,385.42,374.95,382.22,377.43,818600
6/10/2020,383.28,393,380.41,392.32,387.41,849100
6/11/2020,387,394.99,382.18,382.79,378,786300
6/12/2020,385.32,387.19,365.95,378.15,374.18,1042400
6/15/2020,376.57,378.68,368.82,377.92,373.95,925800
6/16/2020,380.05,381.18,371.05,374.86,370.92,771900
6/17/2020,375.34,382.84,374.73,380.67,376.67,674000
6/18/2020,380.93,381.63,374,375.55,371.61,463200
6/19/2020,380.81,381,373.59,378.41,374.44,898700
6/22/2020,377.04,387.1,376.05,384.63,380.59,534900
6/23/2020,387.79,388.48,376.8,377.55,373.58,478400
6/24/2020,377.91,381.88,372.82,375.48,371.54,549600
6/25/2020,373.72,376.27,369.32,373.7,369.77,482900
6/26/2020,374.55,375.25,364.37,365.81,361.97,795600
6/29/2020,365.16,370.35,362,369.17,365.29,485000
6/30/2020,368.89,371.02,363.5,369.44,365.56,752500
7/1/2020,371.42,377.02,369.6,375.71,371.76,436200
7/2/2020,377.54,379.99,372.12,374.09,370.16,415200
7/6/2020,378,387.01,376.21,385,380.96,669100
